epoch,learning_rate,sparsity_mix,train_loss,train_classification,train_regression,train_correlation,train_ccc,train_coherence,train_aux_classification,train_aux_regression,train_temporal_sparsity,train_modality_sparsity,valid_accuracy,valid_macro_f1,valid_mae,valid_pearson,valid_neutral_recall,valid_selection_score,goals_met,seconds
1,0.00028,0.0,1.944555992835036,0.9626944332479317,0.5530355506550486,0.5031802414733673,0.6214937662409845,0.01633051375964021,1.072728668417886,0.6552827058829994,2.913329984540137,0.8087449814671668,0.5892857142857143,0.5156894158315353,0.6197439681821449,0.6283630821938351,0.18478260869565216,0.3394805148700272,0,8.503418600012083
2,0.00028,0.0,1.620659764682021,0.8307477714859437,0.4558679755324515,0.31588633483815415,0.3766785085758316,0.03836115016210302,0.9939676322669626,0.6161743984601208,2.9014006931091023,0.7440998551444472,0.6043956043956044,0.5890889127995366,0.6237660046986843,0.6233155256312974,0.483695652173913,0.5174431587076807,1,6.42035400000168
3,0.00028,0.0,1.5290755390006805,0.7944327453586543,0.4129308368836608,0.2996201949698903,0.3425196949566636,0.043189440357768644,0.9786736001478178,0.5956101542878374,2.845993654750218,0.8232432977061406,0.5989010989010989,0.5671765205585827,0.5879551409555032,0.6583912126490776,0.4673913043478261,0.6036043559136938,2,6.525602600013372
4,0.00028,0.14285714285714285,1.4607973689230802,0.7653129741410228,0.3921431460391695,0.25961525139407576,0.3022667726623678,0.049725729815453014,0.9686476671807119,0.5910611094158387,2.669621895406848,0.8479529608075864,0.6208791208791209,0.600372762016174,0.6050300242115134,0.6306807271803698,0.45652173913043476,0.5266354436167561,1,6.3535008000035305
5,0.00028,0.2857142857142857,1.4198712979521706,0.7437701487095556,0.3821983529585544,0.23928612414921555,0.2849631693875678,0.05224457612940084,0.9640454772476837,0.5936851281429005,2.467992283473505,0.8466016711475693,0.6098901098901099,0.5891648414874123,0.5818502073936422,0.6519700354776262,0.483695652173913,0.6189271691187601,2,6.275319499982288
6,0.00028,0.42857142857142855,1.330935842522951,0.6995281727514534,0.35530996406189747,0.20836872753695906,0.24597213257138975,0.058490278843407316,0.9503031885512522,0.5841470215922204,2.1988519563853184,0.8143037919686219,0.6208791208791209,0.5772519324314617,0.6193117258510908,0.658407301890535,0.30978260869565216,0.5670451522292858,2,6.430414000002202
7,0.00028,0.5714285714285714,1.2347757543358848,0.6527559116621998,0.3198224211407599,0.1853739752947727,0.21503750910268765,0.0684428467441385,0.9396489502113556,0.5749043981048548,1.907493491039098,0.8225444410448877,0.6085164835164835,0.5834570723180695,0.6116314881547114,0.6546270586118166,0.41847826086956524,0.5933540770362237,2,6.352726599987363
8,0.00028,0.7142857142857143,1.1810641288757324,0.6194546016577248,0.3059099012132839,0.1770270188278127,0.20534426029597488,0.07230407493972332,0.9353230996666667,0.5729684175174927,1.6082329538380988,0.78295955256881,0.6153846153846154,0.5929952613305748,0.6350019691303465,0.6576319253658024,0.43478260869565216,0.5955892200366127,2,6.809474599984242
9,0.000154,0.8571428571428571,1.122525689757873,0.5850090735426573,0.29239463666889154,0.15986433875894993,0.18349633094306303,0.07840581227825066,0.928845169945298,0.5757987891959253,1.2707486587150074,0.7335348519209389,0.5947802197802198,0.5718152965964515,0.6075639884585033,0.6191654124212338,0.4673913043478261,0.5087110374266534,1,6.090701299981447
10,0.000154,1.0,1.0263912936794424,0.5285495156161139,0.26657388756208333,0.13957164276426084,0.16070463167172727,0.08563847683161219,0.9153583378435295,0.566707190230628,0.8359545413578782,0.7101989772832282,0.6126373626373627,0.5896080866443532,0.6214160177975657,0.6352231141030027,0.42391304347826086,0.5096599203143157,1,6.031657399988035
11,0.000154,1.0,0.9545585680230756,0.48697333497421763,0.2442927555503132,0.12218258314043562,0.14191015190053208,0.09390897836501354,0.9083726461802688,0.5566869946283715,0.8579661784885085,0.7088392176360727,0.6098901098901099,0.5770547717967388,0.6214712063115407,0.63929929569963,0.358695652173913,0.4904701186454033,1,6.1905306999979075
12,0.000154,1.0,0.9010697394330925,0.45739568282510634,0.22753101152098068,0.10884846649437308,0.12795762369565875,0.09927904369118058,0.8950765762373666,0.5489275469401173,0.8668098711521826,0.7074172441090378,0.6098901098901099,0.5815428645644893,0.6505924833274528,0.6426794277897029,0.391304347826087,0.4913639983377405,1,6.26873730000807
13,8.470000000000001e-05,1.0,0.8652896725128745,0.43222212540769134,0.21937848483952127,0.10513996799415518,0.11978149636883602,0.10318602785189575,0.8926731598711459,0.5444455833357071,0.8797983555036171,0.6934317328105463,0.6112637362637363,0.5851404387780149,0.6263815277018764,0.6272332945535241,0.40217391304347827,0.4990426021952246,1,6.140606300003128
14,8.470000000000001e-05,1.0,0.7972523859728162,0.3869568470203988,0.20200590441160113,0.09549725445631509,0.1080660563763057,0.10696078864770515,0.8829035898235357,0.5375784409937457,0.8845037489293892,0.7235625436372846,0.6153846153846154,0.5860802734453695,0.6368234372380107,0.6278519917586728,0.3858695652173913,0.4933350275776348,1,5.962891500006663
