group,samples,classification_accuracy,mean_absolute_error,mean_confidence,sample_id,true_polarity,predicted_polarity,true_intensity,predicted_intensity
class_0,206.0,0.39805825242718446,0.7772013996111984,0.6519159360541109,,,,,
class_1,184.0,0.7934782608695652,0.3265172155702432,0.659679280487268,,,,,
class_2,338.0,0.47928994082840237,0.5976908854454862,0.6646542359689722,,,,,
hard_sample,,0.0,3.905754865883785,0.9429936308080012,f_ZJ7L14oYQ$_$21,2.0,0.0,2.0,-1.9057548658837848
hard_sample,,0.0,2.9275323502190163,0.741674116270489,266791$_$23,0.0,1.0,-2.6666667461395264,0.26086560407948994
hard_sample,,0.0,2.759865406283816,0.8408847544361744,130456$_$11,2.0,0.0,1.6666666269302368,-1.093198779353579
hard_sample,,0.0,2.7266048326255086,0.6062659061940711,rojyUp4FPSg$_$9,2.0,0.0,2.0,-0.7266048326255085
hard_sample,,0.0,2.6972729911610633,0.8039660477594149,252998$_$7,2.0,0.0,1.3333333730697632,-1.3639396180913004
hard_sample,,0.0,2.696003724859189,0.8179592388650029,102858$_$6,2.0,1.0,2.6666667461395264,-0.029336978719662475
hard_sample,,0.0,2.6745507117998786,0.5258589233317696,130456$_$3,2.0,1.0,2.3333332538604736,-0.3412174579394049
hard_sample,,0.0,2.595933765373547,0.5694412224014542,237009$_$11,0.0,1.0,-3.0,-0.4040662346264532
hard_sample,,0.0,2.535549456022458,0.4791941501844506,102408$_$5,0.0,2.0,-2.0,0.535549456022458
hard_sample,,0.0,2.440345832399408,0.843578238811325,247318$_$3,0.0,1.0,-2.3333332538604736,0.10701257853893413
hard_sample,,0.0,2.351993345333501,0.5592764489276699,89835$_$4,0.0,1.0,-2.6666667461395264,-0.31467340080602507
hard_sample,,0.0,2.3048255267894526,0.4691390633130885,33170$_$3,0.0,2.0,-2.0,0.30482552678945257
hard_sample,,0.0,2.0865941465275877,0.5354860343134606,ET1cU5_A2YM$_$1,0.0,1.0,-2.3333332538604736,-0.24673910733288584
hard_sample,,0.0,2.052539642953894,0.5097561119985009,rojyUp4FPSg$_$18,2.0,1.0,2.5,0.44746035704610615
hard_sample,,0.0,2.0354392634776803,0.686577965297042,ET1cU5_A2YM$_$6,0.0,1.0,-2.0,0.03543926347768046
hard_sample,,0.0,1.984571904328615,0.6203522266672389,272624$_$9,0.0,2.0,-1.0,0.9845719043286151
hard_sample,,0.0,1.981070707079849,0.5926231032107667,102858$_$20,2.0,1.0,2.0,0.018929292920150942
hard_sample,,0.0,1.910988551324489,0.868091414175431,icbUzboLcDQ$_$0,0.0,2.0,-0.6666666865348816,1.2443218647896075
hard_sample,,0.0,1.8887462931087027,0.6990221274155113,TXCXFYIc3Yo$_$16,2.0,1.0,2.0,0.11125370689129734
hard_sample,,0.0,1.854379643889306,0.8917215677779184,32681$_$5,2.0,0.0,0.3333333432674408,-1.5210463006218653
hard_sample,,0.0,1.847816951681546,0.813826325506527,236021$_$4,2.0,0.0,0.6666666865348816,-1.1811502651466643
hard_sample,,0.0,1.832358493443086,0.7544023610000993,270254$_$14,0.0,1.0,-1.6666666269302368,0.16569186651284923
hard_sample,,0.0,1.8296588183075435,0.5045033169509862,102858$_$17,2.0,0.0,1.0,-0.8296588183075435
hard_sample,,0.0,1.7705105862022898,0.3704885004339951,vbr3EA8cJTI$_$2,2.0,1.0,1.6666666269302368,-0.10384395927205295
hard_sample,,0.0,1.757436263672628,0.7499477301092109,252998$_$8,0.0,1.0,-1.6666666269302368,0.09076963674239118
hard_sample,,0.0,1.7381631612741195,0.48100378033503893,bpvYdXVlgvc$_$6,0.0,1.0,-2.0,-0.2618368387258804
hard_sample,,0.0,1.7266475426966452,0.5905679003560889,Fy0Uid9afM8$_$5,0.0,1.0,-1.3333333730697632,0.393314169626882
hard_sample,,0.0,1.7038927007489746,0.6204931035298179,b-FX9NOVQOM$_$4,0.0,1.0,-1.3333333730697632,0.37055932767921135
hard_sample,,0.0,1.6606315590462546,0.558620073048215,gR4gM_WXesQ$_$20,0.0,1.0,-1.3333333730697632,0.32729818597649135
hard_sample,,0.0,1.6377372346095367,0.5083912871122706,188343$_$13,2.0,0.0,1.0,-0.6377372346095367
