epoch,learning_rate,sparsity_mix,train_loss,train_classification,train_regression,train_mae,train_correlation,train_ccc,train_coherence,train_aux_classification,train_aux_regression,train_temporal_sparsity,train_modality_sparsity,valid_accuracy,valid_macro_f1,valid_mae,valid_pearson,valid_selection_score,goals_met,seconds
1,0.00012,0.0,1.8687916303349432,1.0189268455327114,0.5957455567528154,0.7656992613990731,0.6038976606921614,0.7937053770662468,0.008269504720408244,1.0786893250786256,0.6876982861311636,2.9093511728482824,0.9614283431356199,0.5824175824175825,0.45392252793311244,0.6605194524262525,0.5724028202111815,0.8287105000573649,0,7.88710700001684
2,0.00024,0.0,1.5897315005275692,0.874883659532137,0.49634899519314274,0.6666122268293505,0.3615160266929698,0.46400346822827776,0.04202026783305908,1.0168540160232615,0.6286401653958258,2.909046719007403,0.8060623780589238,0.6181318681318682,0.592677139221356,0.5971312271846857,0.6305813561280648,0.9478573094389712,0,6.605242599995108
3,0.00024,0.0,1.448758315817218,0.8092566177109691,0.42710658893964,0.5920898279297018,0.305840276669119,0.36753377958992933,0.04799517571369064,0.9884315662294905,0.6066820255228292,2.895691599801322,0.8046980266259095,0.5975274725274725,0.5600826869209222,0.6023262565761868,0.6440271439450375,0.9236929081240153,0,6.628034199995454
4,0.00023962292802793633,0.0,1.3889596540237141,0.7729544856837977,0.4074134743102243,0.5718883019741451,0.2720971787087271,0.33196626422561215,0.057037252758707954,0.9791951068093844,0.5957574412644466,2.8826710910440605,0.7891194313486046,0.6332417582417582,0.6179521829521829,0.5953025854497145,0.6476709564667031,0.9717120514294533,0,6.709269599989057
5,0.00023849428789566056,0.0,1.3236635711705573,0.740349939214849,0.37810996676159797,0.5388630648082662,0.24478647809162318,0.2897200227897858,0.056899942335820644,0.9653525647715987,0.596707259383157,2.8412124887805117,0.7981406127181009,0.6126373626373627,0.5827744462306355,0.5844572341457523,0.6448792948192312,0.9488226512668785,0,6.41375199999311
6,0.00023662178935970207,0.06666666666666667,1.2603246892724083,0.6990061293695574,0.3607202127715137,0.5197013975860917,0.21530708475647686,0.2609817747757814,0.065532982993488,0.9509235553652327,0.5856727255839054,2.7850623754697423,0.7984989992926054,0.6181318681318682,0.5889208120665921,0.6033416885935706,0.6450299498168814,0.9470037764954964,0,6.518797199998517
7,0.00023401822348375004,0.13333333333333333,1.183562368990105,0.6561915470617954,0.327367573419464,0.4848414899032807,0.19945413041337628,0.23325260443108103,0.06983447980100864,0.9393092087496107,0.5718786284745296,2.731506256299598,0.8368961226160281,0.614010989010989,0.5852309571353339,0.6015324809911192,0.6457956396560592,0.9441785550651447,0,6.2777899999928195
8,0.00023070137526271835,0.2,1.1203118896930018,0.6130845218061287,0.31020012571015093,0.4642502558287059,0.185442898875085,0.21350533717146544,0.07598998192175527,0.9262915409613992,0.5647210506635292,2.6893024333169526,0.7872766512576664,0.5961538461538461,0.5811396914275848,0.6089615769977592,0.6328216387857686,0.9281745296333247,0,6.715577299997676
9,0.00022669390213319639,0.26666666666666666,1.0817218590005535,0.5862493868743148,0.30088156531347293,0.4543838417418649,0.16806794104175032,0.19904285613621506,0.08116453906921582,0.9171812495338583,0.5638313062280138,2.6262979752549502,0.8014715837541028,0.6277472527472527,0.5926328410469002,0.6030640670780865,0.6391898605316597,0.951994989394846,0,6.386992400017334
10,0.00022202317920018316,0.3333333333333333,1.0150032291345508,0.5400825355933091,0.28127709483710406,0.433132245161823,0.1560882948269354,0.18507678709297537,0.0882160951531379,0.9068285366085088,0.5606918295967245,2.5685071276727123,0.7832876009361767,0.6043956043956044,0.5656783566239385,0.611012816566372,0.6293617040183824,0.9229406636617644,0,6.519999200012535
