group,samples,classification_accuracy,mean_absolute_error,mean_confidence,sample_id,true_polarity,predicted_polarity,true_intensity,predicted_intensity
class_0,206.0,0.6116504854368932,0.7548711693944019,0.6235207703259577,,,,,
class_1,184.0,0.5489130434782609,0.32152579787108826,0.5692483579086713,,,,,
class_2,338.0,0.6923076923076923,0.6283303598840253,0.6444551141290764,,,,,
hard_sample,,0.0,3.598285323381424,0.9155198938536536,f_ZJ7L14oYQ$_$21,2.0,0.0,2.0,-1.598285323381424
hard_sample,,0.0,2.94612994492054,0.5403687348717587,2S00zYaVrtc$_$10,0.0,2.0,-2.6666667461395264,0.27946319878101344
hard_sample,,0.0,2.847123869135976,0.4339206462258422,266791$_$23,0.0,1.0,-2.6666667461395264,0.18045712299644945
hard_sample,,0.0,2.7790377460420133,0.4644789076219507,102858$_$6,2.0,1.0,2.6666667461395264,-0.11237099990248683
hard_sample,,0.0,2.740202486515045,0.6537890116310731,102408$_$5,0.0,2.0,-2.0,0.7402024865150452
hard_sample,,0.0,2.5245933715254067,0.47202473326788585,TWszOxkOV0w$_$1,0.0,2.0,-2.3333332538604736,0.19126011766493317
hard_sample,,0.0,2.406506171822548,0.38979753169343917,130456$_$3,2.0,0.0,2.3333332538604736,-0.07317291796207431
hard_sample,,0.0,2.248033159971237,0.9318344867339214,32681$_$5,2.0,0.0,0.3333333432674408,-1.9146998167037963
hard_sample,,0.0,2.2300057373940945,0.579146620494246,247318$_$3,0.0,1.0,-2.3333332538604736,-0.1033275164663792
hard_sample,,0.0,2.162358820438385,0.6665300301369832,K0m1tO3Ybyc$_$8,0.0,2.0,-1.3333333730697632,0.8290254473686218
hard_sample,,0.0,2.110278993844986,0.6114221218964153,130456$_$11,2.0,0.0,1.6666666269302368,-0.44361236691474915
hard_sample,,0.0,2.032056474685669,0.9515870374609412,236021$_$3,1.0,0.0,0.0,-2.032056474685669
hard_sample,,0.0,2.0241796769201756,0.44296245907097476,rojyUp4FPSg$_$9,2.0,0.0,2.0,-0.024179676920175586
hard_sample,,0.0,1.9655226971954107,0.48262288487144356,TXCXFYIc3Yo$_$16,2.0,1.0,2.0,0.034477302804589244
hard_sample,,0.0,1.9208726823329925,0.6073474191595909,252998$_$7,2.0,0.0,1.3333333730697632,-0.5875393092632294
hard_sample,,0.0,1.9152002826333046,0.568480929905647,k5ZOshC2LP4$_$1,0.0,2.0,-1.3333333730697632,0.5818669095635414
hard_sample,,0.0,1.9052814304828645,0.9311878639935506,x2lOwQaAn4g$_$4,1.0,2.0,0.0,1.9052814304828645
hard_sample,,0.0,1.8741730980575084,0.48515687852524664,247318$_$2,0.0,1.0,-1.6666666269302368,0.20750647112727164
hard_sample,,0.0,1.798891471326351,0.5275154962324419,CPjbogfLHR4$_$5,2.0,1.0,2.0,0.2011085286736488
hard_sample,,0.0,1.7797496453858912,0.39007438550387974,128059$_$2,0.0,2.0,-1.6666666269302368,0.11308301845565435
hard_sample,,0.0,1.7627254664897918,0.4498805857077388,PboaYD5hlG8$_$8,0.0,2.0,-1.3333333730697632,0.42939209342002865
hard_sample,,0.0,1.7542800686322153,0.6473821204845758,266791$_$29,0.0,1.0,-1.6666666269302368,0.08761344170197842
hard_sample,,0.0,1.7308163076639176,0.4483755675563715,ZaoFHcbRM9g$_$3,2.0,0.0,1.6666666269302368,-0.06414968073368074
hard_sample,,0.0,1.710265539586544,0.5827094800304787,gR4gM_WXesQ$_$20,0.0,2.0,-1.3333333730697632,0.37693216651678085
hard_sample,,0.0,1.7100255765020846,0.5386706476163141,270254$_$14,0.0,1.0,-1.6666666269302368,0.04335894957184789
hard_sample,,0.0,1.6756774067878726,0.9163959869934085,0utROiKxejc$_$4,1.0,0.0,0.0,-1.6756774067878726
hard_sample,,0.0,1.6681044578552247,0.7512297008464529,99501$_$7,0.0,2.0,-1.0,0.6681044578552247
hard_sample,,0.0,1.652365040779114,0.8963532826064071,31474$_$8,1.0,0.0,0.0,-1.652365040779114
hard_sample,,0.0,1.5886584639549255,0.45866229300882094,101787$_$13,0.0,1.0,-1.6666666269302368,-0.0780081629753113
hard_sample,,0.0,1.5821173056028783,0.5269030279084431,vU0a4F36Ksw$_$20,2.0,1.0,1.6666666269302368,0.08454932132735846
