video_id,clip_id,split,label,regression_label,found
-3g5yACwYnA,13,,0.6666666865348816,,False
-3g5yACwYnA,2,,0.0,,False
-3g5yACwYnA,3,,0.0,,False
-3g5yACwYnA,9,,0.6666666865348816,,False
-3nNcZdcdvU,5,,0.0,,False
-571d8cVauQ,0,,0.0,,False
-571d8cVauQ,5,,0.3333333432674408,,False
-6rXp3zJ3kc,8,,-1.0,,False
-9y-fZ3swSY,0,,1.0,,False
-9y-fZ3swSY,4,,0.0,,False
-9y-fZ3swSY,8,,1.6666666269302368,,False
-AUZQgSxyPQ,2,test,0.6666666865348816,0.6666666865348816,True
-HeZS2-Prhc,2,test,0.6666666865348816,0.6666666865348816,True
-HwX2H8Z4hY,2,,0.0,,False
-HwX2H8Z4hY,5,,-1.0,,False
-HwX2H8Z4hY,6,,0.0,,False
-HwX2H8Z4hY,9,train,-0.3333333432674408,-0.3333333432674408,True
-I_e4mIh0yE,1,,-0.6666666865348816,,False
-I_e4mIh0yE,3,,0.6666666865348816,,False
-MeTTeMJBNc,0,test,0.3333333432674408,0.3333333432674408,True
-MeTTeMJBNc,13,,0.3333333432674408,,False
-MeTTeMJBNc,7,,1.3333333730697632,,False
-NFrJFQijFE,1,,0.3333333432674408,,False
-NFrJFQijFE,2,,0.0,,False
-RfYyzHpjk4,11,,2.0,,False
-RfYyzHpjk4,2,test,0.3333333432674408,0.3333333432674408,True
-RfYyzHpjk4,8,,0.3333333432674408,,False
-THoVjtIkeU,12,,2.0,,False
-THoVjtIkeU,2,train,1.3333333730697632,1.3333333730697632,True
-THoVjtIkeU,6,,2.6666667461395264,,False
-UUCSKoHeMA,0,,0.0,,False
-UacrmKiTn4,10,,-0.6666666865348816,,False
-UacrmKiTn4,4,,-1.3333333730697632,,False
-UuX1xuaiiE,0,,2.6666667461395264,,False
-UuX1xuaiiE,1,,1.6666666269302368,,False
-UuX1xuaiiE,3,,0.3333333432674408,,False
-UuX1xuaiiE,6,,-0.3333333432674408,,False
-a55Q6RWvTA,3,train,0.6666666865348816,0.6666666865348816,True
-aNfi7CP8vM,7,,0.0,,False
-aqamKhZ1Ec,0,train,-2.0,-2.0,True
-dxfTGcXJoc,0,train,1.0,1.0,True
-dxfTGcXJoc,1,,1.6666666269302368,,False
-dxfTGcXJoc,2,,0.6666666865348816,,False
-dxfTGcXJoc,6,train,0.6666666865348816,0.6666666865348816,True
-egA8-b7-3M,1,,0.6666666865348816,,False
-egA8-b7-3M,13,,0.3333333432674408,,False
-egA8-b7-3M,16,,0.6666666865348816,,False
-egA8-b7-3M,17,,0.3333333432674408,,False
-egA8-b7-3M,18,,1.0,,False
-egA8-b7-3M,20,,0.3333333432674408,,False
-egA8-b7-3M,26,,1.6666666269302368,,False
-egA8-b7-3M,6,,0.6666666865348816,,False
-egA8-b7-3M,9,,0.3333333432674408,,False
-hnBHBN8p5A,6,,1.0,,False
-hnBHBN8p5A,7,,0.6666666865348816,,False
-iRBcNs9oI8,3,,0.6666666865348816,,False
-iRBcNs9oI8,6,,0.3333333432674408,,False
-iRBcNs9oI8,7,,0.6666666865348816,,False
-iRBcNs9oI8,8,,1.0,,False
-iRBcNs9oI8,9,,1.3333333730697632,,False
-lzEya4AM_4,5,,-0.6666666865348816,,False
-lzEya4AM_4,6,train,-0.3333333432674408,-0.3333333432674408,True
-mJ2ud6oKI8,1,,0.0,,False
-mJ2ud6oKI8,2,,0.0,,False
-mJ2ud6oKI8,6,,0.3333333432674408,,False
-mJ2ud6oKI8,8,,-0.3333333432674408,,False
-mJ2ud6oKI8,9,train,0.0,0.0,True
-mqbVkbCndg,0,,0.0,,False
-qDkUB0GgYY,6,,1.3333333730697632,,False
-ri04Z7vwnc,0,,0.0,,False
-ri04Z7vwnc,2,,-0.3333333432674408,,False
-ri04Z7vwnc,5,,0.3333333432674408,,False
-s9qJ7ATP7w,0,,-0.3333333432674408,,False
-s9qJ7ATP7w,1,,0.6666666865348816,,False
-s9qJ7ATP7w,4,,0.0,,False
-s9qJ7ATP7w,5,test,-2.0,-2.0,True
-s9qJ7ATP7w,6,test,0.0,0.0,True
-s9qJ7ATP7w,7,,1.0,,False
-s9qJ7ATP7w,8,,1.3333333730697632,,False
-t217m2on-s,2,,0.6666666865348816,,False
-t217m2on-s,7,,-0.6666666865348816,,False
-tANM6ETl_M,3,,0.3333333432674408,,False
-tPCytz4rww,10,,0.0,,False
-tPCytz4rww,11,,0.0,,False
-tPCytz4rww,12,,0.0,,False
-tPCytz4rww,16,train,0.0,0.0,True
-tPCytz4rww,18,,0.0,,False
-uywlfIYOS8,4,,0.3333333432674408,,False
-vxjVxOeScU,4,,1.0,,False
-wMB_hJL-3o,7,,0.3333333432674408,,False
-wny0OAz3g8,0,train,0.3333333432674408,0.3333333432674408,True
-wny0OAz3g8,1,,0.3333333432674408,,False
-wny0OAz3g8,2,,-0.3333333432674408,,False
-wny0OAz3g8,3,,-1.3333333730697632,,False
-wny0OAz3g8,5,train,1.0,1.0,True
-wny0OAz3g8,7,,0.0,,False
-wny0OAz3g8,9,,0.6666666865348816,,False
-yRb-Jum7EQ,1,test,0.0,0.0,True
-yRb-Jum7EQ,5,,-0.6666666865348816,,False
-yRb-Jum7EQ,6,,0.0,,False
