group,samples,classification_accuracy,mean_absolute_error,mean_confidence,sample_id,true_polarity,predicted_polarity,true_intensity,predicted_intensity
class_0,206.0,0.6504854368932039,0.7481645000246308,0.6686976418467485,,,,,
class_1,184.0,0.4076086956521739,0.3555508472716294,0.5881953662836849,,,,,
class_2,338.0,0.7485207100591716,0.6051515232110342,0.678021694073148,,,,,
hard_sample,,0.0,3.5094942808151246,0.9191743913007369,f_ZJ7L14oYQ$_$21,2.0,0.0,2.0,-1.5094942808151246
hard_sample,,0.0,2.915482810139656,0.42437753692730484,266791$_$23,0.0,1.0,-2.6666667461395264,0.24881606400012968
hard_sample,,0.0,2.7801958560943603,0.6902345198168277,rojyUp4FPSg$_$9,2.0,0.0,2.0,-0.7801958560943604
hard_sample,,0.0,2.6379459321498873,0.49230353148104333,130456$_$3,2.0,0.0,2.3333332538604736,-0.30461267828941346
hard_sample,,0.0,2.6054741028696298,0.6234559649490156,102858$_$6,2.0,1.0,2.6666667461395264,0.061192643269896485
hard_sample,,0.0,2.488629823923111,0.6766779630934662,102408$_$5,0.0,2.0,-2.0,0.48862982392311094
hard_sample,,0.0,2.4137819290161135,0.7496824130227063,252998$_$7,2.0,0.0,1.3333333730697632,-1.0804485559463504
hard_sample,,0.0,2.2649596616625787,0.44496151217446556,247318$_$3,0.0,1.0,-2.3333332538604736,-0.06837359219789507
hard_sample,,0.0,2.128211444616318,0.9441282985168192,32681$_$5,2.0,0.0,0.3333333432674408,-1.794878101348877
hard_sample,,0.0,2.013072408735752,0.5986698231790758,33170$_$3,0.0,2.0,-2.0,0.013072408735752078
hard_sample,,0.0,1.8785930633544923,0.42384882970811466,247318$_$2,0.0,2.0,-1.6666666269302368,0.21192643642425535
hard_sample,,0.0,1.829137372970581,0.8024542870237896,102858$_$21,2.0,0.0,1.0,-0.8291373729705811
hard_sample,,0.0,1.8174047291278839,0.7157687246730556,gR4gM_WXesQ$_$20,0.0,2.0,-1.3333333730697632,0.48407135605812074
hard_sample,,0.0,1.8074583623558282,0.5450648864956861,270254$_$14,0.0,1.0,-1.6666666269302368,0.14079173542559145
hard_sample,,0.0,1.80049295052886,0.6053692844330885,266791$_$29,0.0,1.0,-1.6666666269302368,0.13382632359862326
hard_sample,,0.0,1.7916488170623779,0.43894626382281965,H1DpVwktfDQ$_$0,2.0,0.0,1.6666666269302368,-0.12498219013214115
hard_sample,,0.0,1.7105810075998307,0.43139377206205987,x-zGBp7axao$_$3,2.0,0.0,1.6666666269302368,-0.04391438066959383
hard_sample,,0.0,1.6988952636718748,0.9658537835507882,x2lOwQaAn4g$_$4,1.0,2.0,0.0,1.6988952636718748
hard_sample,,0.0,1.6828132629394532,0.9472179917577358,236021$_$3,1.0,0.0,0.0,-1.6828132629394532
hard_sample,,0.0,1.6623342752456667,0.9486624677626295,80855$_$17,1.0,0.0,0.0,-1.6623342752456667
hard_sample,,0.0,1.582602385058999,0.3362161973299693,vU0a4F36Ksw$_$20,2.0,0.0,1.6666666269302368,0.08406424187123773
hard_sample,,0.0,1.5804234892129898,0.5170338233984202,k5ZOshC2LP4$_$1,0.0,2.0,-1.3333333730697632,0.2470901161432266
hard_sample,,0.0,1.5751462697982788,0.4668613724281759,Es9MkKsMsjU$_$10,0.0,1.0,-1.3333333730697632,0.2418128967285156
hard_sample,,0.0,1.5480233311653138,0.4754950271837674,zhE_68GMJIk$_$5,2.0,0.0,1.3333333730697632,-0.21468995809555058
hard_sample,,0.0,1.5014061950147153,0.41637614680387725,31474$_$11,0.0,2.0,-1.3333333730697632,0.168072821944952
hard_sample,,0.0,1.4814523100852965,0.8329534848672673,MjaaudUc5-4$_$6,2.0,0.0,0.6666666865348816,-0.8147856235504151
hard_sample,,0.0,1.4787802994251251,0.8564425473474577,v9gjg7TDlTA$_$0,2.0,0.0,0.3333333432674408,-1.1454469561576843
hard_sample,,0.0,1.4688742637634278,0.4898333826075853,99501$_$10,0.0,2.0,-1.6666666269302368,-0.1977923631668091
hard_sample,,0.0,1.4516362428665162,0.8034256290311408,236021$_$5,0.0,2.0,-0.6666666865348816,0.7849695563316346
hard_sample,,0.0,1.4486857652664185,0.5243715277230055,188343$_$13,2.0,0.0,1.0,-0.44868576526641846
