version,split,modality,dimension,mean,std,min,max,zero_ratio
aligned,train,audio,0,79.80256848306333,100.87185518305652,0.0,500.0,0.5477349042709867
aligned,train,audio,1,0.2377142857142857,0.4256832203430535,0.0,1.0,0.7622857142857142
aligned,train,audio,2,0.02917183151403464,0.04978557146615681,0.0,0.49790310859680176,0.5812547864506628
aligned,train,audio,3,0.11359742863830587,0.18861433095879143,0.0,0.891957700252533,0.5812547864506628
aligned,train,audio,4,0.18651498913957743,4.5128194784013385,-47.73226547241211,36.030433654785156,0.6017319587628865
aligned,train,audio,5,0.13563119587089892,0.23488781216802287,0.0,2.7409679889678955,0.5794108983799705
aligned,train,audio,6,0.05278687930032501,0.0618467176789454,0.0,0.46520569920539856,0.5503681885125185
aligned,train,audio,7,-0.13895884766860647,0.17035265412573133,-1.77967369556427,0.35731738805770874,0.5490721649484536
aligned,train,audio,8,0.6879272861754596,0.8317664322190674,0.0,2.496593713760376,0.5484653902798232
aligned,train,audio,9,0.2250326400647634,0.258610051040915,0.0,0.9482607841491699,0.5489425625920471
aligned,train,audio,10,0.12001914731153394,0.1719356378772363,0.0,0.9985317587852478,0.5475051546391753
aligned,train,audio,11,-3.5214018437971246,3.988237547894967,-20.417436599731445,0.0,0.5478703976435935
aligned,train,audio,12,0.8975675018521776,1.176363573422442,-2.6931216716766357,6.3223347663879395,0.5478703976435935
aligned,train,audio,13,-0.02457433561156889,0.44228910277646044,-3.503504991531372,4.006633758544922,0.5478703976435935
aligned,train,audio,14,0.14318010814257148,0.3555757605079329,-2.1646745204925537,2.828458547592163,0.5478703976435935
aligned,train,audio,15,-0.061444126512470706,0.24882288392457005,-2.086669921875,1.496049404144287,0.5478703976435935
aligned,train,audio,16,-0.024798516045843117,0.22832727690190155,-1.9841301441192627,1.607738733291626,0.5478703976435935
aligned,train,audio,17,-0.040386688935830674,0.1895558971841395,-1.6984926462173462,1.7034109830856323,0.5478703976435935
aligned,train,audio,18,-0.0015316879932602346,0.15896201393874645,-1.4131476879119873,1.483104944229126,0.5478703976435935
aligned,train,audio,19,0.0020768827770457628,0.14304383704784512,-1.4091246128082275,1.4595768451690674,0.5478703976435935
aligned,train,audio,20,0.018675043023659733,0.12623175832916694,-0.9760171175003052,1.3189611434936523,0.5478703976435935
aligned,train,audio,21,-0.018001323303452305,0.11519390089812062,-1.202113389968872,1.039729356765747,0.5478703976435935
aligned,train,audio,22,0.01196153399070521,0.10931216240245252,-1.191896915435791,1.1883052587509155,0.5478703976435935
aligned,train,audio,23,-0.02022843860968477,0.10487355697241897,-1.122173547744751,0.8732377886772156,0.5478703976435935
aligned,train,audio,24,0.017076927314135196,0.09584264330230459,-1.0089830160140991,1.326227068901062,0.5478703976435935
aligned,train,audio,25,-0.020578239170342096,0.09151109251575291,-0.8463215231895447,0.8454586863517761,0.5478703976435935
aligned,train,audio,26,0.006752699835922071,0.08371248075907979,-0.9573004841804504,0.992196798324585,0.5478703976435935
aligned,train,audio,27,-0.007580238301483819,0.07803315337980667,-0.8782461881637573,0.7785161733627319,0.5478703976435935
aligned,train,audio,28,0.013070400872722562,0.07448515751239966,-0.8525694608688354,0.8712940812110901,0.5478703976435935
aligned,train,audio,29,-0.011571499779301447,0.07197277498514794,-0.7676694989204407,0.9108917117118835,0.5478703976435935
aligned,train,audio,30,0.01027783007606674,0.0681616323261404,-0.7930743098258972,0.7420423030853271,0.5478703976435935
aligned,train,audio,31,-0.005732606634836719,0.06329384045960655,-0.6622382998466492,0.6085054874420166,0.5478703976435935
aligned,train,audio,32,0.007237858104679175,0.06106558400335452,-0.6086808443069458,0.8235164284706116,0.5478703976435935
aligned,train,audio,33,-0.006980772174000775,0.05796956925994263,-0.6428598761558533,0.6402561068534851,0.5478703976435935
aligned,train,audio,34,0.006941442847407831,0.0550580833476267,-0.47348031401634216,0.557292640209198,0.5478703976435935
aligned,train,audio,35,-0.005962814136225584,0.052895398354399215,-0.6163804531097412,0.6267641186714172,0.5478703976435935
aligned,train,audio,36,0.00023049564451110908,0.03487067269656352,-3.096919536590576,2.8778035640716553,0.9995228276877761
aligned,train,audio,37,0.0005211198676453449,0.05179548752265383,-3.1311426162719727,2.957166910171509,0.9983033873343151
aligned,train,audio,38,-4.3938116409961753e-05,0.04722592145338129,-3.106931209564209,3.0239338874816895,0.9983033873343151
aligned,train,audio,39,0.00047834205357670545,0.049994100717725476,-3.0918920040130615,3.139761209487915,0.9983033873343151
aligned,train,audio,40,0.0002076730124056634,0.05435357516970617,-3.123573064804077,3.1009459495544434,0.9527422680412371
aligned,train,audio,41,5.872434164751567e-05,0.05474560470772428,-3.103625774383545,3.1351921558380127,0.8820618556701031
aligned,train,audio,42,-0.00012497073183534899,0.06328875564775935,-3.131718635559082,3.1322200298309326,0.8008070692194403
aligned,train,audio,43,0.0009749091615313299,0.07433719490000555,-3.1298460960388184,3.1317195892333984,0.7157643593519882
aligned,train,audio,44,0.0051229017188242675,0.12347969969302328,-3.1107025146484375,3.112720489501953,0.6124712812960236
aligned,train,audio,45,0.013724131348329954,0.2885656432167974,-3.139047861099243,3.1362485885620117,0.5642179675994109
aligned,train,audio,46,0.03322016869669073,0.5309991830687899,-3.141573667526245,3.140580892562866,0.5504683357879234
aligned,train,audio,47,0.07148678267564301,0.7270206370148139,-3.1407246589660645,3.140671491622925,0.5488541973490427
aligned,train,audio,48,0.12550020278125554,0.9101896447246378,-3.141359567642212,3.141505002975464,0.5484889543446244
aligned,train,audio,49,0.15680624873804025,1.027952149143322,-3.1415815353393555,3.141498565673828,0.5484653902798232
aligned,train,audio,50,0.17558715389198187,1.1172349992554558,-3.14155650138855,3.1415669918060303,0.5484653902798232
aligned,train,audio,51,0.18324622486388964,1.1688520863356953,-3.1415858268737793,3.1414170265197754,0.5484653902798232
aligned,train,audio,52,0.19176131670268376,1.172672131723215,-3.1415700912475586,3.1413791179656982,0.5484653902798232
aligned,train,audio,53,0.1956641096819239,1.1524373748548984,-3.1414341926574707,3.141514778137207,0.5484653902798232
aligned,train,audio,54,0.20192348997379891,1.1365720457019697,-3.1415774822235107,3.141080617904663,0.5484653902798232
aligned,train,audio,55,0.21511752651658755,1.1380426097682743,-3.141477108001709,3.1414756774902344,0.5484653902798232
aligned,train,audio,56,0.2108938063361899,1.1423298545391178,-3.1414783000946045,3.1415512561798096,0.5484653902798232
aligned,train,audio,57,0.22425678261717308,1.1260894739452707,-3.14145565032959,3.141512393951416,0.5484653902798232
aligned,train,audio,58,0.20432900558404823,1.1297350087469848,-3.1411824226379395,3.1412272453308105,0.5484653902798232
aligned,train,audio,59,0.1487385247460516,1.1742252570957807,-3.141543388366699,3.1415746212005615,0.5484653902798232
aligned,train,audio,60,0.12460506244708887,1.199931076735031,-3.1414825916290283,3.1415789127349854,0.5484653902798232
aligned,train,audio,61,-0.14527824058349506,0.25642840359261704,-7.45979642868042,0.7486459016799927,0.5484653902798232
aligned,train,audio,62,-0.5412571109683147,0.6498027621454067,-3.4233052730560303,0.3932839334011078,0.5484653902798232
aligned,train,audio,63,-0.4557871476358324,0.5424349204675049,-2.4903347492218018,0.20136892795562744,0.5484653902798232
aligned,train,audio,64,-0.427699675073091,0.49737099127600115,-1.7806789875030518,0.17315822839736938,0.5484653902798232
aligned,train,audio,65,-0.3682867059760927,0.4219708267990757,-1.500117540359497,0.367424339056015,0.5484653902798232
aligned,train,audio,66,-0.31279708323140487,0.3574132288232233,-1.2831882238388062,0.6077210307121277,0.5484653902798232
aligned,train,audio,67,-0.26880433970991074,0.3094520010769702,-1.085460901260376,0.9510378837585449,0.5484653902798232
aligned,train,audio,68,-0.21762952490301832,0.261148707774368,-0.9135344624519348,0.9345912933349609,0.5484653902798232
aligned,train,audio,69,-0.1776599818270697,0.22654052517527049,-0.8097608089447021,0.891085684299469,0.5484653902798232
aligned,train,audio,70,-0.13946553371719547,0.19822207187588353,-0.8310291767120361,0.8119527697563171,0.5484653902798232
aligned,train,audio,71,-0.10501593501387661,0.17299773405197252,-0.6327791810035706,0.6969111561775208,0.5484653902798232
aligned,train,audio,72,-0.07757951031940183,0.1549854130790089,-0.7224530577659607,0.6462547779083252,0.5484653902798232
aligned,train,audio,73,-0.051232557421302644,0.13808648498421422,-0.5964615345001221,0.61435467004776,0.5484653902798232
aligned,train,vision,0,-0.9031225932035998,1.4598243118366234,-12.870599746704102,4.05079984664917,0.5721178203240059
aligned,train,vision,1,-0.5518053613819227,1.229257349814154,-13.809900283813477,5.631549835205078,0.5721178203240059
aligned,train,vision,2,-0.48983785498339444,1.0984300765660955,-12.150400161743164,4.946959972381592,0.5721178203240059
aligned,train,vision,3,-0.6839797597627256,1.7053279296745996,-14.52929973602295,10.160599708557129,0.5721178203240059
aligned,train,vision,4,-0.5833322191258974,1.1096608653167772,-12.003899574279785,4.533760070800781,0.5721178203240059
aligned,train,vision,5,-0.348221078042418,1.473550405899522,-18.01930046081543,4.024809837341309,0.5721178203240059
aligned,train,vision,6,-0.7785436305859865,1.4290096975354685,-15.194899559020996,3.231369972229004,0.5721178203240059
aligned,train,vision,7,-0.7388109741378353,1.4886550163793617,-13.284500122070312,8.511150360107422,0.5721178203240059
aligned,train,vision,8,-0.766457020228794,1.64458996628269,-18.499000549316406,3.265549898147583,0.5721178203240059
aligned,train,vision,9,-0.8464004314485334,1.6337143578474036,-15.585200309753418,4.590950012207031,0.5721178203240059
aligned,train,vision,10,0.03450987188213159,0.6923700064528399,-3.4421000480651855,5.171030044555664,0.5721178203240059
aligned,train,vision,11,-0.054158223672485184,0.6287588085247231,-3.6614999771118164,5.28331995010376,0.5721178203240059
aligned,train,vision,12,-0.1573293275164377,0.5570671487500763,-3.087290048599243,5.977640151977539,0.5721178203240059
aligned,train,vision,13,-0.4797940116035226,0.8063419887104483,-5.92080020904541,4.095699787139893,0.5721178203240059
aligned,train,vision,14,-0.35024815296540623,0.7681811890256106,-6.639949798583984,5.406449794769287,0.5721178203240059
aligned,train,vision,15,-0.25357332715415903,0.5465764118845365,-4.48475980758667,2.2578299045562744,0.5721178203240059
aligned,train,vision,16,-0.9110706304768204,1.3895480671709954,-9.782549858093262,4.1272101402282715,0.5721178203240059
