sample_id,consensus_index,consensus_time_sec,uncertainty,text_token_indices,text_fragment,audio_peak_start_sec,audio_peak_end_sec,audio_90pct_start_sec,audio_90pct_end_sec,video_peak_frame_index,video_peak_start_sec,video_peak_end_sec,video_90pct_frame_start,video_90pct_frame_end,video_90pct_start_sec,video_90pct_end_sec
-UacrmKiTn4$_$10,0,0.2084458683841025,0.27161056849845244,0;1,"Because ,",0.07999999821186066,0.125,0.012500000186264515,0.28018651530942784,0,0.0,0.20000000298023224,0,12,0.10000000149011612,0.4212702952858747
-UacrmKiTn4$_$10,1,0.645886962110364,0.3153723274798506,1;2,", if",0.5199999809265137,0.5450000166893005,0.30126414263547135,0.7649462910125066,18,0.6000000238418579,0.800000011920929,12,24,0.33352340528886876,0.8637308928780983
-UacrmKiTn4$_$10,2,1.1009991415890075,0.2746145955753645,2;3,if they,1.0399999618530273,1.0850000381469727,0.77803906758921,1.1418018749349816,30,1.0,1.2000000476837158,24,36,0.7595459697923089,1.274759540574728
-UacrmKiTn4$_$10,3,1.5098166521189946,0.27411174791552223,4;5,are not,1.440000057220459,1.465000033378601,1.1656928312923456,1.4480366156633746,48,1.600000023841858,1.7999999523162842,42,54,1.2978827427937194,1.7481306781126822
-UacrmKiTn4$_$10,4,1.963625342323202,0.2980993117168642,5;6,not in,2.200000047683716,2.2249999046325684,1.4596661013298964,2.2291437704078305,60,2.0,2.200000047683716,54,66,1.7264303121772961,2.2451162967965415
-UacrmKiTn4$_$10,5,2.4702714848099205,0.30241200080191555,6;7,in any,2.4000000953674316,2.424999952316284,2.2349294972147704,2.5133699337979705,72,2.4000000953674316,2.5999999046325684,66,78,2.1384897603774244,2.667073534215679
-UacrmKiTn4$_$10,6,2.862795398879565,0.29150104609821437,7;8,any way,2.6600000858306885,2.684999942779541,2.538518991253164,2.8070569561662557,84,2.799999952316284,3.0,78,90,2.571306357770419,3.076339319592455
-UacrmKiTn4$_$10,7,3.29219287198875,0.29366954263633976,8;9,way held,3.0,3.0250000953674316,2.810224665563884,3.206947607282231,96,3.200000047683716,3.4000000953674316,96,108,3.1119300064691315,3.6373214254058666
-UacrmKiTn4$_$10,8,3.7196056728464306,0.30778605496823397,10;11,accountable for,3.4600000381469727,3.484999895095825,3.182826008751165,3.580725281079679,114,3.799999952316284,4.0,108,120,3.5155734320611978,4.061529962230484
-UacrmKiTn4$_$10,9,4.174382903712189,0.30862845247554055,11;12,for reading,4.0,4.045000076293945,3.6036272288839877,4.165846037735599,126,4.199999809265137,4.400000095367432,120,132,3.9561947861452413,4.4772458323466
-UacrmKiTn4$_$10,10,4.607776396764606,0.3178989987367356,12;13,reading the,4.119999885559082,4.164999961853027,4.0554978814545395,4.483355658521734,144,4.800000190734863,5.0,138,150,4.500927023995856,4.995129548270236
-UacrmKiTn4$_$10,11,5.025135990247753,0.3226736881122725,13;14,the material,4.619999885559082,4.644999980926514,4.31461657151077,4.926463518696565,156,5.199999809265137,5.400000095367432,150,162,4.928720616979707,5.455078464691449
-UacrmKiTn4$_$10,12,5.4576837303552725,0.29631724366938966,14;15,material they,5.0,5.025000095367432,4.671421288617665,5.22607813902224,168,5.599999904632568,5.800000190734863,162,174,5.348364368934767,5.871386203608681
-UacrmKiTn4$_$10,13,5.845344572223574,0.33673717308739193,16;17,won't do,5.239999771118164,5.264999866485596,3.7526593326657833,5.988737971783237,186,6.199999809265137,6.400000095367432,174,186,5.805309178482617,6.364405516072798
-UacrmKiTn4$_$10,14,6.491074029381164,0.2936188818950338,17;18,do it,6.059999942779541,6.085000038146973,5.984963305665753,6.237636278815882,198,6.599999904632568,6.800000190734863,192,204,6.32972519029827,6.861345936682761
-UacrmKiTn4$_$10,15,6.851458322251293,0.3130488642537671,18;19,it .,6.440000057220459,6.465000152587891,3.789169245882273,6.641858488120373,215,7.199999809265137,7.333333492279053,204,215,6.764843702386834,7.247370299085551
