epoch,learning_rate,sparsity_mix,train_loss,train_classification,train_regression,train_mae,train_correlation,train_ccc,train_coherence,train_aux_classification,train_aux_regression,train_temporal_sparsity,train_modality_sparsity,valid_accuracy,valid_macro_f1,valid_mae,valid_pearson,valid_selection_score,goals_met,seconds
1,0.00012,0.0,1.8313174437139637,0.9994688696950396,0.584340057849327,0.7561908598258117,0.5657398867829938,0.7180599130202676,0.016008275092653408,1.078529449266808,0.672722204684097,2.9089682325024473,0.771550115023818,0.5906593406593407,0.4664053874626464,0.6469928128609643,0.5978111407905864,0.8487701273937627,0,7.712041399994632
2,0.00024,0.0,1.6131122914430136,0.8959623040439927,0.5012658257907796,0.6717878814055541,0.3457275679178327,0.466006704580004,0.04249961224219231,1.0191785202962216,0.6311777117096375,2.9025114852691365,0.5830440150800152,0.6277472527472527,0.5959021081428425,0.5839423275263091,0.6444078985822392,0.962247205059107,0,7.136865999986185
3,0.00024,0.0,1.4475077591209768,0.812902965278269,0.4236956397506678,0.5889451417410485,0.303619780273081,0.3570514332468265,0.0483519669935525,0.9850365536235203,0.6038732411705445,2.85921431479053,0.6661054787234725,0.6195054945054945,0.5970506156642857,0.5872206671897752,0.6529935248106196,0.9596657694801107,1,6.971133500017459
4,0.00023962292802793633,0.0,1.371220963580586,0.7703533233883225,0.39489255441683474,0.5587589863304779,0.2535317891111998,0.3112594758238748,0.055023220950894264,0.9772264394804696,0.5927667044033514,2.785079343296657,0.7095200138114323,0.6346153846153846,0.6051719086726166,0.5891201059490053,0.6618156948393404,0.9718501501698329,1,7.059092399984365
5,0.00023849428789566056,0.0,1.2904864538495786,0.7222286827653368,0.3666327932727671,0.5265534208199688,0.2282507837375748,0.2734880781619348,0.06235055655032118,0.958887721890601,0.5857693388640324,2.654162083830789,0.7222598674141358,0.6057692307692307,0.5847786447749059,0.5880580053467733,0.6417793716232322,0.9444666108564275,0,6.945568299997831
6,0.00023662178935970207,0.06666666666666667,1.2366850342705986,0.6901482070717856,0.3489902582124015,0.5080968317027404,0.20652311761802603,0.24810631420010718,0.06836067824232801,0.9424576809473126,0.5757454505590635,2.5619709179780195,0.669000439276205,0.6277472527472527,0.5862712775628561,0.6639408009693827,0.6716739843099039,0.9355076173891701,1,6.996744199976092
7,0.00023401822348375004,0.13333333333333333,1.1420158259222442,0.6325910754292925,0.31539691803611325,0.4711781353036934,0.1802217108066951,0.21139080836394122,0.07461368919254463,0.9277414317442992,0.5590625714475863,2.3872228582328727,0.7711328529865942,0.6085164835164835,0.5847094442146114,0.5981826227888143,0.6525963479767583,0.944239756167097,1,7.001814399991417
8,0.00023070137526271835,0.2,1.0689339442787884,0.5867510192862181,0.2904029322144027,0.44342524871647915,0.16607270730990115,0.1927952755277402,0.08365995353348901,0.9121547959675299,0.5525750024853465,2.2301071681708935,0.7524972073385648,0.6263736263736264,0.6149583159549936,0.6052032275529,0.6693190608271177,0.9683106491079392,1,7.295953199994983
9,0.00022669390213319639,0.26666666666666666,1.0131420465273278,0.5464538803724485,0.27838619018548005,0.43067966304092764,0.14613397823315916,0.17546500168114065,0.08841695163016007,0.9000071237020404,0.5487961791386115,2.131615864896329,0.7115114476079138,0.6373626373626373,0.5857368172310761,0.5889044691999455,0.657428497075548,0.9627870689524733,1,7.169849500001874
10,0.00022202317920018316,0.3333333333333333,0.9508588709563852,0.5024206972567835,0.26347144895067837,0.41314771437199316,0.13240735664545933,0.1592807084600502,0.09456534687185957,0.8832298834747243,0.5447652738228023,1.994946771693007,0.7520846523971201,0.6153846153846154,0.5730032602303344,0.6327173845507627,0.6412157361094669,0.9265727874506544,0,7.08078319998458
