sample_id,modality,rank,position,position_score,attention_score,modality_score,text_span,start_sec,end_sec,start_frame,end_frame,representative_frame,mapping_method,mapping_confidence
01,text,1,14,0.07588316994783398,0.08465508371591568,0.7557153320661726,the,5.781021897810219,5.978102189781022,173,179,176,token_offset_proportional_fallback,0.35
01,text,2,12,0.056585040338135974,0.04540067911148071,0.7557153320661726,to,4.992700729927007,5.124087591240876,149,153,151,token_offset_proportional_fallback,0.35
01,text,3,18,0.05649814640878373,0.043603021651506424,0.7557153320661726,to,7.226277372262774,7.357664233576642,216,220,218,token_offset_proportional_fallback,0.35
01,text,4,10,0.05304453187960828,0.049891795963048935,0.7557153320661726,is,4.138686131386861,4.2700729927007295,124,128,126,token_offset_proportional_fallback,0.35
01,text,5,13,0.05056319803763219,0.03681154176592827,0.7557153320661726,ensuring,5.189781021897811,5.7153284671532845,155,171,163,token_offset_proportional_fallback,0.35
01,audio,1,8,0.05659927574455421,0.05640486627817154,0.10167608740929826,timing,3.3503649635036497,3.7445255474452557,100,112,106,token_offset_proportional_fallback,0.35
01,audio,2,12,0.05575080034307609,0.05918411165475845,0.10167608740929826,to,4.992700729927007,5.124087591240876,149,153,151,token_offset_proportional_fallback,0.35
01,audio,3,2,0.0533595927389263,0.03240210935473442,0.10167608740929826,these,0.656934306569343,0.9854014598540146,19,29,24,token_offset_proportional_fallback,0.35
01,audio,4,1,0.051779062280886225,0.03213675692677498,0.10167608740929826,Replacing,0.0,0.5912408759124088,0,17,8,token_offset_proportional_fallback,0.35
01,audio,5,9,0.04949146694258882,0.0413983128964901,0.10167608740929826,belt,3.81021897810219,4.072992700729927,114,122,118,token_offset_proportional_fallback,0.35
01,vision,1,5,0.06322541978622707,0.04368269443511963,0.14260858052452915,when,2.102189781021898,2.3649635036496353,63,70,66,token_offset_proportional_fallback,0.35
01,vision,2,4,0.05718906319203789,0.031467095017433167,0.14260858052452915,components,1.3795620437956204,2.0364963503649633,41,61,51,token_offset_proportional_fallback,0.35
